key,doc_count
Louis Adamič,2
Andrej Praprotnik,2
Vojteh Kurnik,2
Fran Cegnar,2
Janez Kovač,2
Fran Studenko,2
Alojzij Peterlin,2
Francka Gortnar,2
Dela P,2
Fran Kadilnik,2
Darinka Topolovec,2
Frank Kroll,2
Nace Mihevc,2
Milan Medvešek,2
Just Piščanec,2
Imre Augustič,2
ljudska pripoved,1
Anton Alojzij Wolf,1
Jurij Japelj,1
ljudska pesem,1
Ivan Čampa,1
Josip Višarski,1
Zakoni Republike Slovenije,1
Gregor Žerjav,1
Izmail Ivanovič Sreznjevski,1
Karel Robida,1
Janez Adam Traven,1
David Novak,1
Tone Partljič,1
Ivan Minatti,1
Pavla Rovan,1
Milan Jesih,1
Matjaž Pikalo,1
Alojzij Bolhar,1
Janko Orožen,1
Jože Tomažič,1
Anton Hribar,1
Jožef Sisentschelli,1
Marko Pohlin,1
Jana Pavlič,1
Ivan Šašelj,1
Ivan Rozman,1
Juraj Pangrac,1
Frančišek Ksaverij Steržaj,1
Albin Čebular,1
Sebastijan Pregelj,1
Anton Knez,1
Matej Slekovec,1
Anton Brecelj,1
Tatjana Kokalj,1
Olga Gutman,1
Pavel Knobl,1
Emil Korytko,1
Radoslav Razlag,1
Nežka Raztresen,1
Klara Filipič,1
Magda Šalamon,1
David Bandelj,1
Anita Leskovec,1
Damijan Perne,1
Aksinja Kermauner,1
Jurij Švajncer,1
Ivanka Mestnik,1
Borut Stražar,1
Nejc Gazvoda,1
Desa Muck,1
Ivan Kolar,1
Tanja Nežmah Dolinšek,1
Janez Čop,1
Veronika Repinc Bajrič,1
Janez Volčič,1
Tomaž Lapajne Dekleva,1
Jurij Vega,1
Damijan de Veuster,1
Jernej Andrejka,1
Nizozemski Avtorji,1
Gerrit Theodoor Rotman,1
Danica Elbl,1
Slovenski pesniki,1
Ivan Malavašič,1
Nouvi Zákon,1
Števan Küzmič,1
Hrizogon Majar,1
Igo Kaš,1
Ferdo Godina,1
Vatroslav Oblak,1
Anton Svetek,1
France Novšak,1
Irena Blazinšek,1
Vlado Kuret,1
Werner Mehler,1
Marjan Čufer,1
Angela Gelč Jontes,1
Franc Derganc,1
Ivan Kavčič,1
Ljubljanski zvon,1
Oton Marc,1
otroška šala,1
Tatjana Pregl Kobe,1
Pavel Medvešček,1
Boris Pahor,1
Dim Zupan,1
Branka Jurca,1
Mira Voglar,1
Helena Kraljič,1
literarni lik,1
Marija Vogrič,1
Sveti Andrej,1
Jože Zupan,1
Miha Mate,1
Ignacij Holzapfel,1
Martin Polše,1
Venceslav Bril,1
Barbara Hanuš,1
Fran Ilešič,1
Franc Simonič,1
Josip Jošt,1
Venceslav Bele,1
Jože Debevec,1
Janko Bajde,1
Feliks Anton Dev,1
Matija Šnajder,1
Emil Vodeb,1
Fany Hausmann,1
Anton Vodnik,1
Žiga Leskovšek,1
Domoljub februar,1
Evgen Lah,1
Ivan Vrhovnik,1
Domoljub avgust,1
Vitko Lovec,1
Fran Svoboda,1
Ivan Petrović,1
Jani Kovačič,1
Janko Dolžan,1
Janez Kalan,1
Goran Vojnović,1
Henryk Sienkiewicz,1
Matej Bor,1
Brat Nardžič,1
Anica Lebar,1
Matko Krevh,1
Therese Keiter,1
Tilka Lampreht Dušica,1
Tilka Lamprecht,1
Adolf Ivančič,1
Jože Krivec,1
Stanko Majcen,1
Vlasta Pittnerová,1
Zvona Primic,1
Roza Matoh,1
Janez Kmet,1
Malka Marinko,1
Stanko Cajnkar,1
Mira Golobičeva,1
P. Roman,1
M. Mihaeljev,1
Juliusz Kaden-Bandrowski,1
Thomas Mann,1
Ivan Brelič,1
Lovro Baš,1
Marko V.,1
August Bondeson,1
Elizabeta Kremžar,1
Leonid Maksimovič Leonov,1
Ernst Glaeser,1
Janko Hacin,1
Richard Schacherl,1
Ludvik Mrzel,1
Ivan Seljan,1
Aleksander Sergejevič Neverov,1
Josip Nolli,1
Fran Pogačnik,1
Marijana Željeznov Kokalj,1
Avgust Žavbi,1
Peter Paul Rubens,1
Ivan Ranfl,1
Vinko Košak,1
Johan August Strindberg,1
William Chambers Morrow,1
Anton Podbevšek,1
Davorin Petančič,1
Ani Salmič,1
Miguel de Unamuno,1
Fjodor Mihajlovič Dostojevski,1
Gil Blas,1
Rudolf Kresal,1
Jens Peter Jacobsen,1
Ivan Grahor,1
bengalski avtorji,1
Laza Lazarević,1
L. O. Karmi,1
Aleksander Ivanovič Kuprin,1
Vladimir Sergejevič Solovjov,1
Terezija Kmet,1
Božidar Borko,1
Henri Barbusse,1
Anatole France,1
Janko Podtrojiški,1
Miroslav Krleža,1
Ivan Dobravec,1
Krizostom Sekovanič,1
Peter Altenberg,1
Walter Scott,1
Mark Twain,1
Dr. Meinert,1
Anton Pavlovič Čehov,1
Rikard Katalinić Jeretov,1
France Kotnik,1
Janko Cegnar,1
Zofija Borštnik,1
Peter Pavel Glavar,1
Martin Luter,1
Charles Nodier,1
Ivan Robida,1
Ivan Dolinar,1
Stanko Vuk,1
Drago Sterle,1
Nada Obereigner,1
Walter Bauer,1
Giovanni Papini,1
Gabriele D'Annunzio,1
Josip Vidmar,1
Pantelejmon Sergejevič Romanov,1
K. Oblak,1
Leonid Andrejev,1
Saša Sankov,1
Marica Bartol,1
Mihail Šolohov,1
M. Senčar,1
Hipokrat,1
Maksimilijan I. Habsburški,1
Mirza Šafi Vazeh,1
Radoslav Šegula,1
M. G.,1
Mihail Andrejevič Osorgin,1
Jakob Bedenek,1
Mary Janesh,1
Charles Dickens,1
Matej Andrejevič Ternovec,1
J. Ikšič,1
Franc Kolenc,1
Peter Sova,1
Anton Lesar,1
Ervin Fritz,1
Mihail Jurjevič Lermontov,1
Andrej Škulj,1
Jožef Fischer,1
Josip Ciperle,1
Rihard Drolle,1
Ivan Bučer,1
Franc Govekar,1
Cilka Žagar,1
Franc Tovornik,1
Emanuel Josip Kovačič,1
Papež Pij XI.,1
Tone Glavan,1
Janez Gregorin,1
Robert Frost,1
Andrej Pajk,1
Pršernove poezije,1
Sergej Jesenjin,1
Papež Celestin V.,1
Franc Serafin Šegula,1
J. Klemenčič,1
Jožef Muršec,1
Ivana Orleanska,1
Franc Štupar,1
Anton Turkuš,1
Jakob Košar,1
Maksa Samsa,1
Henrik Podkrajšek,1
Ivan Koštiál,1
Tone Pavček,1
Ferdo Lupša,1
Anton Sušnik,1
Davorin Iskra,1
Vekoslav Špindler,1
Marta Bogdanović,1
Josip Rusin,1
Ivan Florjančič,1
R. F. Žetinski,1
Ana Fabjan,1
Josipina Turnograjska,1
Egon Mosche,1
Jakob Hočevar,1
Janko Bratina,1
F. Mrak,1
Antonija Kadivec,1
Andrej Kovač,1
Papež Nikolaj V.,1
Minka Govekar,1
Johann Peter Hebel,1
Papež Inocenc VIII.,1
Andrej Perne,1
Jules Verne,1
Franjo Krakovec,1
Anton Kržič,1
Janez Krstnik Mesar,1
Frančišek Asiški,1
Christoph von Schmid,1
Antuza Carigrajska,1
nemski duhovniki,1
bizantinski avtorji,1
Šimun Kožičić Benja,1
Tone Čokan,1
Fridtjof Nansen,1
Franc Valentin Slemenik,1
Aleksander Puškin,1
France Jančar,1
Anton Slodnjak,1
Feodor Jaromilov,1
Anton Antonov,1
Papež Pavel III.,1
Jakob Gomilšek,1
Tone Svetina,1
Papež Lucij III.,1
Adam Zima,1
Fran Košir,1
Zdenko Savinjski,1
Ivan Logar,1
J. S. Topol,1
Fran Kremenjak,1
Srbski avtorji,1
Zorko Simčič,1
J. G. Dobletinski,1
Nikolaj Vasiljevič Gogolj,1
Marica Gregorič,1
Izidor Korobač,1
Joža Musil,1
Fran Štefanič,1
Ivan Nemec,1
Miloš Štibler,1
Jože Lavrič,1
Peter Rupar,1
Marjana Grasselli Prosenc,1
Ljuba Slikanice,1
Ivanka Novak,1
Taborišče Ravensbrúck,1
Herbert Grün,1
Mitja Mejak,1
Jože Šmit,1
Marja Boršnik,1
Ladislav Koželj,1
Štefan Golob,1
Ivan Mrak,1
Ljud. Klopčič,1
Milan Pregelj,1
Ljudevit Klopčič,1
Groga Rastihuj,1
Jakob Brdnikov,1
Pobožna pripovedka,1
diplomatični prepis,1
kritični prepis,1
Božična povest,1
Vinko Gaberc,1
Milko Hrašovec,1
Pavel Strmšek,1
Milan Fabjančič,1
Rudyard Kipling,1
Anton Kopač,1
Vladimir Stoj,1
Franc Sušnik,1
Janez Oštir,1
M. Kos,1
Fran Radešček,1
Josip Hauptman,1
Slavoj J. K.,1
V. B.,1
H. R.,1
A. Ukmar,1
Ivan Vdovič,1
Zahodne Ture,1
A. J. Cernič,1
Alfonz Paulin,1
J. Mandelj,1
J. L.,1
Charles Baudelaire,1
Heinrich Sochaczewsky,1
Milka P.,1
Odon Peterka,1
Leopold Legat,1
France Žvenkelj,1
Ivo Kovačič,1
Karolina Světlá,1
Fr. Procházka,1
Mihael Napotnik,1
P. P.,1
J. H.,1
France Bregar,1
Lojze Pesjan,1
Bert Lakner,1
Janez Grom,1
Abel Kabel,1
Tone Brdar,1
Gottfried August Bürger,1
Ljudmila Pivko,1
Slovenska bčela,1
Jurij Vranič,1
Karel Chodounský,1
Rožmanov France,1
Veliki Klek,1
Jernej Vidmar,1
Ljudevit Stiasny,1
Vodnikov Vršac,1
Florijan Vodovnik,1
Andrej Gutman,1
Ahacij Stržinar,1
Janko Pajk,1
Aleksander Ličan,1
František Jaromír Rubeš,1
Mirko Brodnik,1
Balant Janežič,1
Bernard Spanheimski,1
M. Reinhart,1
Franc Jožef II. Habsburško-Lotarinški,1
Marija Terezija,1
Edgar Wallace,1
Jože Logačan,1
E. Curtius,1
Jože Kovačev,1
J. Gaulke,1
Ljudevit Thoma,1
Stanko Klinar,1
Eugène Varlin,1
Leo Bily,1
Leda Rafanelli,1
Edmondo De Amicis,1
Anton Dermota,1
Posl. Kraljevački,1
Valentin Belošič,1
Edvard Jelínek,1
Josef Štolba,1
V. Jarc,1
Čivkoslav Lažan,1
Oton Trabant,1
Klaus Detlef Olof,1
Moritz Gottlieb Saphir,1
Jožef Marija Kržišnik,1
Luka Svetec,1
Marko Vovčok,1
Vladimir Lenski,1
Jernej Medved,1
Štefan Modrinjak,1
Matija Premuta,1
Niko Štritof,1
Šmarješke Toplice,1
L. Sevčan,1
Andrej Čehovin,1
Franc Andrej Ziegler,1
Vladimir Rijavec,1
Franc Veriti,1
Pavel Karlin,1
Sveti Ciril in Metod,1
K. Chodounsky,1
A. Trstenjak,1
Pavla Borštner,1
Dragotin Lončar,1
Srečko Puncer,1
Davorin Ravljen,1
Alja Vanjev,1
Dr. Bogoslav Franta,1
Ivan Cirilov,1
Velika Kopa,1
drugi del,1
J. S. Brenov,1
Julius Kugy,1
J. Drobnič,1
Fr. K. G.,1
Peter Radics,1
F. K.,1
Anton Divazal,1
Friderik Baraga,1
Anton Wolf,1
Andrej Zdešar,1
Anton Erjavec,1
Jurij Volc,1
Ivan Geršak,1
Dragotin Jesenko,1
I. T. T.,1
D. S. Podgorec,1
Janez Bučar,1
Kajetan Hueber,1
Jožef Hašnik,1
Drobne povesti,1
Franc Jaklič,1
Rudolf Baumbach,1
Ivan Navratil,1
Ivan Hrast,1
Anton Jehart,1
Helena Turk,1
Ožbalt Ilaunig,1
Henrijeta Beaulieu,1
Valentina Iovovna Dimitrijeva,1
M. Elizabeta,1
J. Mohorov,1
Marija Dolinar,1
Maja Klas,1
Jožef Poklukar,1
Franc Serafin Metelko,1
Mihael Peternel,1
Juda Iškarijot,1
Hironim Ullrich,1
Joško Kevc,1
Josip Podhumski,1
Vid Počivalnik,1
Janja Miklavčič,1
Štefan Klavs,1
Andrej Fleischmann,1
Miroslav Vilhar,1
Jožef Resnik,1
Jernej Arko,1
Andrej Fleišmann,1
Miha Debelak,1
Andrej Einspieler,1
Andrej Fleišman,1
Guy Seymour,1
Laibacher Zeitung,1
Frank Albrecht,1
Alojzij Foljk,1
Fran Jeriša,1
Grazia Deledda,1
Vid Ambrožič,1
Andrej Švegel,1
Václav Kliment Klicpera,1
Maša Slavec,1
Anne Frank,1
Heinrich Heine,1
Fran Tominšek,1
Ivan Žmavc,1
Makso Pirnat,1
Karel Chodounsky ml.,1
Dr. Fran Tominšek,1
lavretanske litanije,1
Karel VI. Habsburški,1
Blaž Potočnik,1
Ivanka Ipavska,1
Matija Torkar,1
Jožef Stefan,1
Vilen Vilhar,1
Franc Domicelj,1
Andrej Gollmayr,1
Franc Albreht,1
Jakob Mlajši,1
Marijan Savič,1
Domen Uršič,1
oton župančič,1
Anton Debeljak,1
Vladimir Nazor,1
Anton Leban,1
Mirko Muršec,1
Emil Golob,1
Janez Čmrlj,1
Leon Brunčko,1
Jos. Rusin,1
Franc Gortnar,1
Janez Vipotnik,1
Fridolin Žolna,1
Peter Gortnar,1
Julijske Alpe,1
Maks Klodič,1
Dr. Jos. Tominšek,1
Dolina Vrat,1
Vladimir Herle,1
Alojzij Knafelc,1
L. Rogl,1
Gerhard Hauptmann,1
Radivoj Peterlin Petruška,1
Dr. Ivan Lah,1
A. Roj,1
B. M. Vogel,1
M. Silvester,1
R. Silvin,1
Ivan Kreft,1
F. S. Šegula,1
J. A.,1
Anna Krasna Praček,1
Peter Žele,1
Josip Planinec,1
Adam Milkovič,1
R. Kresal,1
Katka Zupančič,1
Igor Ščep,1
Andrew Kobal,1
Janko Telban,1
Marijana Zeljeznova Kokalj,1
Arnošt Adamič,1
Andrej Kobal,1
Alojz Gradnik,1
Tone Gaspari,1
Boris Orel,1
Ivo Pirc,1
Andrew Žagar,1
Dr. I. L.,1
James Debevec,1
Neznani avtor,1
NOB pesem,1
Louis Zajec,1
Josip Javtižar,1
Karnijske Alpe,1
Bovški Grintavec,1
Juraj Lubič,1
Edmund Čibej,1
Al. Rihteršič,1
Jakob Zupančič,1
Peter Brelih,1
Kamniško Savinjske Alpe,1
Mario De Andrade,1
Mihael Levstik,1
France Feržou,1
Janez Koren,1
Andrej Kalec,1
Antonija Kobler,1
Franc Temlin,1
J. M. Krivčev,1
Ivo Pregelj,1
Viktor Flisek,1
Rak E.,1
Peter Kolar,1
Štefan Žemlič,1
Milica Ostrovška,1
neznani avtor,1
Jože Piber,1
A. M. Bašič,1
Anton Terbovec,1
Silvester K.,1
Zofija Podlipska,1
S. Semenovic,1
Fran Lakmayer,1
