doc_index	title	categories
1150	Tretje pismo Franceta Prešerna Matiju Čopu, 20. februar 1832	dela_v_nemscini, slovenska_knjizevnost
1151	Četrto pismo Franceta Prešerna Matiju Čopu, Celovec, 7. marec 1832	dela_v_nemscini, slovenska_knjizevnost
1152	Peto pismo Franceta Prešerna Matiju Čopu, Celovec, med 29. in 31. marcem 1832	dela_v_nemscini, slovenska_knjizevnost
1176	Naravoslovje alj fizika	fizika, naravoslovje, ucbeniki
1190	Drugo pismo Franceta Prešerna Stanku Vrazu, Ljubljana, med 13. majem in 10. junijem 1837	dela_v_nemscini, slovenska_knjizevnost
1200	Lea Fatur	avtorice, slovenski_avtorji
1205	Franc Pirc	slovenski_avtorji, slovenski_duhovniki
1211	Osmo pismo Franceta Prešerna Stanku Vrazu, Kranj, 5. februar 1847	dela_v_nemscini, slovenska_knjizevnost
1220	Tretje pismo Franceta Prešerna Stanku Vrazu, Ljubljana, 5. julij 1837	dela_v_nemscini, slovenska_knjizevnost
1221	Četrto pismo Franceta Prešerna Stanku Vrazu, Ljubljana, 19. julij 1838	dela_v_nemscini, slovenska_knjizevnost
1242	Sedmo pismo Franceta Prešerna Stanku Vrazu, Ljubljana, 12. december 1843	dela_v_nemscini, slovenska_knjizevnost
1245	Cvetje slovenskiga pesničtva	estetika, genologija, literarna_teorija, metrika, poetika, verzologija
1258	Drugo pismo Franceta Prešerna Antonu Aleksandru Auerspergu, Ljubljana, 23. avgust 1845	dela_v_nemscini, slovenska_knjizevnost
1262	Narte Velikonja	bozji_sluzabniki, slovenski_avtorji
1264	Pismo Franceta Prešerna Janezu Bleiweisu	dela_v_nemscini, slovenska_knjizevnost
1283	Tretje pismo Franceta Prešerna Františku Ladislavu Čelakovskemu, Ljubljana, 22. avgust 1836	dela_v_nemscini, slovenska_knjizevnost
1289	Pismo Franceta Prešerna Jožefu Blazniku, Kranj, 8. junij 1847	dela_v_nemscini, slovenska_knjizevnost
1292	Josip Stritar	biografije, nekrologi
1340	Valentin Vodnik	slovenski_avtorji, slovenski_duhovniki
1391	Zadovoljni Kranjec	alpska_poskocnica, slovensko_razsvetljenstvo
1393	Zadovolni Krajnc	alpska_poskocnica, slovensko_razsvetljenstvo
1420	Poezije (Gradnik)	gradnik, pojoca_kri
1455	Naš narodni dom	domovinska_pesem, realizem_na_slovenskem
1483	Kmetski hiši	realizem_na_slovenskem, domovinska_pesem
1530	Lisjaček v Luninem gozdu	cebelica, zbirka
1552	Jovan Vesel Koseski	avtorji, ki_so_znani_pod_psevdonimom, slovenski_avtorji
1572	Balade in romance	nezbrane_balade_in_romance, nezbrano_delo_franceta_preserna
1579	Stanko Vraz	avtorji, ki_so_znani_pod_psevdonimom, slovenski_avtorji
1580	Janez Bilc	slovenski_avtorji, slovenski_duhovniki
1584	Peter Bohinjec	slovenski_avtorji, slovenski_duhovniki
1585	Cvet in sad	slovenska_knjizevnost, zgodovinski_romani
1586	Doktor Zober	slovenska_knjizevnost, zgodovinski_romani
1588	Sonja Koranter	avtorice, slovenski_avtorji
1591	Moč in pravica	slovenska_knjizevnost, zgodovinski_romani
1593	Ljubljanski zvon	besedilne_variante, delar, zgodovinski_romani
1596	Tugomer	drame, slovenska_knjizevnost
1602	Poetom	karel_destovnik_kajuh, v_javni_lasti
1614	Večerna impresija	karel_destovnik_kajuh, v_javni_lasti
1615	Soneti	karel_destovnik_kajuh, v_javni_lasti
1618	Ko človek bo človeka prepoznal	karel_destovnik_kajuh, v_javni_lasti
1620	Poglobimo boja struge	karel_destovnik_kajuh, v_javni_lasti
1625	Med ljudi bom šel	karel_destovnik_kajuh, v_javni_lasti
1626	Pomladni sonet	karel_destovnik_kajuh, v_javni_lasti
1640	Ne joči, mati ...	karel_destovnik_kajuh, v_javni_lasti
1641	Kadar padajo snežinke	karel_destovnik_kajuh, v_javni_lasti
1642	Pred smrtjo	karel_destovnik_kajuh, v_javni_lasti
1643	Večerna meditacija	karel_destovnik_kajuh, v_javni_lasti
1644	Moj ded	karel_destovnik_kajuh, v_javni_lasti
1645	Moj stric	karel_destovnik_kajuh, v_javni_lasti
1646	Moj oče	karel_destovnik_kajuh, v_javni_lasti
1647	Nora Štefa	karel_destovnik_kajuh, v_javni_lasti
1648	Pismo iz internata	karel_destovnik_kajuh, v_javni_lasti
1649	Ti in jaz	karel_destovnik_kajuh, v_javni_lasti
1650	Znamenja	karel_destovnik_kajuh, v_javni_lasti
1651	V nočeh pred vstajenjem	karel_destovnik_kajuh, v_javni_lasti
1653	Ljubici za veliko noč	karel_destovnik_kajuh, v_javni_lasti
1654	Stara žalostna	karel_destovnik_kajuh, v_javni_lasti
1655	Žalostna	karel_destovnik_kajuh, v_javni_lasti
1656	Žalostna pesem bajtarja Drejca	karel_destovnik_kajuh, v_javni_lasti
1659	Izza kongresa	besedilne_variante, kronika, zgodovinski_romani
1679	Plašček za Barbaro	cebelica, zbirka
1680	Lisica, volk in medved	cebelica, zbirka
1701	Matija Prelesnik	slovenski_avtorji, slovenski_duhovniki
1713	Mateja Reba	avtorice, slovenski_avtorji
1716	Marija Jezernik	avtorice, avtorji, ki_so_znani_pod_psevdonimom, slovenski_avtorji
1800	Valentin Orožen	slovenski_avtorji, slovenski_duhovniki
1813	Slovenske narodne pravljice	knjige, slovenske_ljudske_pravljice
1828	Gitica Jakopin	avtorice, slovenski_avtorji
1833	Jana Stržinar	avtorice, slovenski_avtorji
1835	Zdenka Žebre	avtorice, slovenski_avtorji
2064	Zaplenjeno pismo bivšega nemškega tov. s fronte	karel_destovnik_kajuh, v_javni_lasti
2101	Vanja Strle	avtorice, slovenski_avtorji
2125	Lofsöngur	himne, v_islandscini
2128	Pesme za pokušino	dela_v_bohoricici, pesniske_zbirke
2170	Zwei Genien hat Krain besessen	dela_v_nemscini, namecek_nemskih_in_ponemcenih_poezij
2183	Materi padlega partizana	karel_destovnik_kajuh, v_javni_lasti
2185	Butale in Butalci	slovenska_knjizevnost, slovenske_zbirke
2637	O pesniku Prešernu kakor pravniku	eseji, literarna_zgodovina, slovenski_pravnik
3050	Življenje in pesni Franje Ser. Cimpermana	biografije, literarna_zgodovina
3057	Anton Funtek	delas, pesniske_zbirke, slovenska_knjizevnost
3069	Praemium sa male otrozhizhke	katekizem, nabozna_besedila
3070	Krajnska pismenost	jezikoslovje, slovnica, slovnice
3071	Zgodovina slovenskega slovstva 3 (Glaser)	literarna_zgodovina, slovenska_matica
3090	Zemljekrog	dela_v_anglescini, pesniske_zbirke
3091	Lepi janičar	mladinska_knjizevnost, zgodovinski_romani
3094	Ata Žužamaža	humor, humoreske
3095	Slovensko gledališče	postmodernizem, psihoanaliza, teatrologija
3119	Pohujšanje v dolini šentflorjanski	delap, komedije
3137	Ta veseli dan ali Matiček se ženi (1790)	dela_v_bohoricici, komedije
3203	Prešernove hlače	humor, podlistki
3204	Po novi metodi	humor, podlistki
3205	O modnih podobah	humor, podlistki
3207	Neparlamentarni izrazi	humor, podlistki
3208	Pismo v primorje	humor, podlistki
3209	Fran Milčinski	humor, podlistki
3215	Fran Milčinski	humor, podlistki
3217	O binkoštih, krizah in cvetličnih dneh	humor, podlistki
3219	Fran Milčinski	humor, podlistki
3220	Fran Milčinski	humor, podlistki
3223	Pobje učenosti	humor, podlistki
3224	Fran Milčinski	humor, podlistki
3225	K današnji premieri	humor, podlistki
3226	Fran Milčinski	humor, podlistki
3227	Vodilna misel v »Krpanu mlajšem«	humor, podlistki
3228	Pridiga na novega leta dan o preljubi pameti	humor, podlistki
3229	Ata Žužamaža	humor, humoreske
3230	Zadeva gospoda V. Vodnika	humor, podlistki
3231	»Naš stari osel«	humor, podlistki
3238	Fran Milčinski	humor, podlistki
3240	Fran Milčinski	humor, podlistki
3245	Fran Milčinski	humor, podlistki
3246	O zvonjenju in povesti	humor, podlistki
3247	Prešernove hlače	humor, podlistki
3248	Pretužna pesem o smešni zgodbi in zadovoljni njen konec	humor, podlistki
3249	Roman dveh src. — Senzacionalna katastrofa. — Kdo je kriv?	humor, podlistki
3250	O poplavah in špinači	humor, podlistki
3252	O bolhi, bacilu, kralju Davidu in drugih kočljivih vprašanjih	humor, podlistki
3253	Najlepša Ljubljančanka	humor, podlistki
3254	Fran Milčinski	humor, podlistki
3261	Pismo o tomboli in šipi v trebuhu, o grlici in konkurzih	humor, podlistki
3263	Napoleonov samovar	drame, enodejanke, humor
3268	Sedeči podlistki in stoječi	humor, podlistki
3272	O delegaciji in komisarjih, o mladini neprimernem vitezu in o pravopisu	humor, podlistki
3274	Boxmatch Brenkala-Bösendorfer	humor, podlistki
3275	Fran Milčinski	humor, podlistki
3276	Zgodba o junaškem rablju, ki si je sam odrobil glavo	humor, podlistki
3277	Zoper volitve in gorske velikane	humor, podlistki
3278	Fran Milčinski	humor, podlistki
3279	Jesenska razstava in damska moda	humor, podlistki
3280	Zanemarjena mladina in skrb zanjo	humor, podlistki
3281	Pokret med mrliči	humor, podlistki
3282	O ljubezni, knjigi prirode in krvavih tragedijah	humor, podlistki
3283	Fran Milčinski	humor, podlistki
3285	O urah in kulturnem boju	humor, podlistki
3286	Moja šestdesetletnica (vse pravice pridržane)	humor, podlistki
3287	Pomemben napredek	humor, podlistki
3288	Še enkrat najznamenitejši dogodki 1928	humor, podlistki
3289	Fran Milčinski	humor, podlistki
3290	O ljubezni pri ljudeh in fižolu	humor, podlistki
3291	Fran Milčinski	humor, podlistki
3292	Fran Milčinski	humor, podlistki
3293	O moderni glasbi in o še bolj moderni	humor, podlistki
3294	Čebela, zdravilo proti raku	humor, podlistki
3295	O prekarnem položaju in njegovi komercializaciji	humor, podlistki
3296	Segedinski golaž	humor, podlistki
3297	Fran Milčinski	humor, podlistki
3298	Iz beležnice letoviščarja	humor, podlistki
3299	Zastran razstave mest (dopis z letovišča)	humor, podlistki
3300	Neumnosti iz Kurje Poljane	humor, podlistki
3301	Zgodba o vljudnosti	humor, podlistki
3302	Fran Milčinski	humor, podlistki
3303	Fran Milčinski	humor, podlistki
3324	Ivan Šašelj	slovenski_avtorji, slovenski_duhovniki
3360	Zapiski Tine Gramontove	delaz, ljubezenski_romani
3368	Sirota Jerica	delas, slovenska_knjizevnost
3371	Knezova knjižnica	delat, slovenska_knjizevnost
3381	Vatroslav Jagić	biografije, literarna_zgodovina, slavistika
3391	Dr. Fr. Prešeren	biografije, literarna_zgodovina, slovenska_matica
3395	Cvetje slovenskiga pesničtva/Uvod.	estetika, literarna_teorija, metrika, verzologija
3396	Cvetje slovenskiga pesničtva/Pevni del.	genologija, literarna_teorija, metrika, poetika
3397	Cvetje slovenskiga pesničtva/Pripovedajoči del.	genologija, literarna_teorija, poetika
3398	Cvetje slovenskiga pesničtva/Dramatički del.	genologija, literarna_teorija, poetika
3399	Cvetje slovenskiga pesničtva/Smes.	genologija, literarna_teorija, poetika
3420	Matija Valjavec: Životopis	biografije, literarna_zgodovina, slovenska_matica
3421	Janko Kersnik, njega delo in doba	biografije, casnik, gorica, literarna_zgodovina
3622	Saša Vegri	avtorji, ki_so_znani_pod_psevdonimom, slovenski_avtorji
3623	Drama Prešernovega duševnega življenja	biografije, literarna_zgodovina
3630	Magda Lojk	avtorice, slovenski_avtorji
3671	Polona Škrinjar	avtorice, slovenski_avtorji
3674	Potepuh Marko in kralj Matjaž	delap, slovenska_matica
3727	Publius in Hispala	besedilne_variante, zgodovinski_romani
3742	Ida Mlakar	avtorice, slovenski_avtorji
3749	Slovani v vzhodni Pustriški dolini	jezikoslovje, prevodi, zgodovina
3750	Krivica za krivico	prevodi, zgodovinske_povesti
3778	Zgodovina slovenskega slovstva 1 (Glaser)	literarna_zgodovina, slovenska_matica
